Actiune,Timestamp
Adaugare Tablou,2023-06-03 06:32:50
Adaugare Sculptura,2023-06-03 06:33:47
Adaugare Relicva,2023-06-03 06:34:32
Afisare Bilete,2023-06-03 06:35:04
Adaugare Bilet,2023-06-03 06:35:06
Afisare Bilete,2023-06-03 06:35:29
Afisare Bilete,2023-06-03 06:37:18
Afisare Bilete,2023-06-03 06:39:40
Adaugare Bilet,2023-06-03 06:39:47
Sortare exponate,2023-06-03 06:40:20
Afisare numar vizitatori,2023-06-03 06:40:41
Afisare program muzeu,2023-06-03 06:41:07
Afisare tururi,2023-06-03 06:41:11
Afisare expozitii,2023-06-03 06:41:14
Rezervare bilet de catre vizitator,2023-06-03 06:41:18
Rezervare bilet de catre vizitator,2023-06-03 06:42:14
Rezervare bilet de catre vizitator,2023-06-03 06:43:18
Rezervare bilet de catre vizitator,2023-06-03 06:44:09
Afisare numar vizitatori,2023-06-03 06:44:36
